word,number,pos,meaning
kid,300,n,tub
kind,100,n,similar
kind,200,a,friendly
kit,100,"n,v",provisions
kit,200,n,young
kit,300,n,violin
kit,400,n,flock
knoll,100,n,hill
knoll,200,"v,n",sound
knot,100,"n,v",fastening
knot,200,n,sandpiper
lag,100,"v,n",delay
lag,200,v,cover
lag,300,"n,v",criminal
lake,100,n,pool
lake,200,n,pigment
lap,100,n,cloth
lap,200,"n,v",fold
lap,300,"v,n",waves
last,100,"a,r,n",lowest
last,400,v,continue
last,500,n,shoemaking
launch,100,"v,n",initiate
launch,200,n,motorboat
lawn,100,n,garden
lawn,200,n,fabric
lax,100,a,relaxed
lax,200,n,sport
lay,100,"v,n",position
lay,200,a,non-professional
lay,300,n,song
lay,400,v,dishonesty
lead,100,"v,n",direct
lead,200,n,metal
leading,100,"a,n",important
leading,200,n,blank space
league,100,"n,v",collection
league,200,n,unit
lean,100,"v,n",incline
lean,200,"a,n",thin
leave,100,"v,n",depart
leave,200,n,permission
leave,300,v,grow
let,100,"v,n",allow
let,200,"n,v",circumstance
lie,100,"v,n",recline
lie,200,"n,v",dishonesty
light,100,"n,v,a",illumination
light,400,a,skinny
light,500,v,lessen
limb,100,n,arm
limb,200,n,border
limp,100,"v,n",walk
limp,200,a,weak
line,100,"n,v",row
line,200,v,cover
liner,100,n,ship
liner,200,n,inner coating
link,100,"n,v",relationship
link,200,n,torch
list,100,"n,v",record
list,200,"v,n",incline
list,300,"v,n",want
live,100,v,survive
live,200,"a,r",performance
loaf,100,n,bread
loaf,200,v,laze
lock,100,"n,v",fastener
lock,200,n,hair
log,100,"n,v",tree
log,200,n,logarithm
long,100,"a,n,r",distance
long,400,v,desire
loom,100,n,apparatus
loom,200,"v,n",threaten
loon,100,n,fool
loon,200,n,bird
loon,300,v,dawdle
lore,100,n,tradition
lore,200,n,surface
low,100,"a,n,r",inferior
low,200,"v,n",deep
lower,100,"r,a,r",
lower,300,"v,n",scowl
lower,400,v,descend
lumber,100,v,shuffle
lumber,200,"n,v",timber
lumber,300,"v,n",converse
lump,100,"n,v",pile
lump,200,v,accept
lunge,100,"n,v",thrust
lunge,200,"n,v",rein
lunge,500,n,fish
lurch,100,"v,n",jerk
lurch,200,n,abandon
lush,100,a,abundant
lush,200,"n,v",alcoholic
lustre,100,n,sheen
lustre,200,n,time period
mail,100,"n,v",items
mail,200,"n,v",armour
main,100,"a,n",central
main,200,n,number
mamma,100,n,mother
mamma,200,n,breast
march,100,"v,n",walk
march,200,"n,v",land
march,500,n,month
mark,100,"n,v",blemish
mark,200,n,currency
maroon,100,"a,n",color
maroon,200,v,abandon
maroon,400,n,member
mast,100,n,post
mast,200,n,fruit
mast,300,v,brew
mat,100,"n,v",material
mat,200,n,mould
mat,300,a,dull
match,100,"n,v",companion
match,200,n,wick
mate,0,n,infusion
mate,100,"n,v",partner
mate,200,"n,v",checkmate
may,100,v,ask
may,200,n,plant
may,300,n,month
meal,100,n,occasion
meal,200,n,powder
mean,100,v,signify
mean,200,a,unkind
mean,300,"n,a",average
meet,100,"v,n",convene
meet,200,a,proper
mere,100,a,pure
mere,200,n,lake
mere,300,n,club
meter,100,n,unit
meter,200,"n,v",device
meter,300,n,unit
might,100,v,ask
might,200,n,power
minute,100,n,time
minute,200,a,small
minute,300,"n,v",memorandum
miss,100,"v,n",fail
miss,200,n,title
miss,300,n,miscarriage
mood,100,n,atmosphere
mood,200,n,category
mortar,100,"n,v",gun
mortar,200,"n,v",mixture
mould,100,"n,v",container
mould,200,n,fungi
mould,300,n,soil
mound,100,"n,v",hill
mound,200,n,regalia
mount,100,"v,n",climb
mount,200,n,mountain
mum,100,n,mother
mum,200,a,silent
mum,300,n,chrysanthemum
mum,400,v,perform
muse,100,n,inspiration
muse,200,"v,n",meditate
mystery,100,n,secret
mystery,200,n,skill
neat,100,a,tidy
neat,200,n,cattle
net,100,"n,v",material
net,200,"a,v",remaining
nip,100,"v,n",bite
nip,200,"n,v",amount
nip,500,n,slur
ounce,100,n,unit
ounce,200,n,leopard
pack,100,"n,v",container
pack,200,v,cram
pad,100,"n,v",material
pad,200,"v,n",walk
paddle,100,"n,v",pole
paddle,200,"v,n",wade
page,100,"n,v",sheet
page,200,"n,v",boy
pale,100,"a,v",blanched
pale,200,n,stake
palm,100,n,tree
palm,200,"n,v",hand
panic,100,"n,v",fear
panic,200,n,grass
pap,100,"n,a",food
pap,200,n,breast
pap,300,"n,v",paparazzi
party,100,"n,v",gathering
party,200,a,divided
pass,100,"v,n",change
pass,200,n,route
pasty,100,n,pastry
pasty,200,a,pale
patter,100,"v,n",run
patter,200,"n,v",speech
pay,100,"v,n",compensate
pay,200,v,seal
peak,100,"n,v,a",point
peak,400,v,decline
peck,100,"v,n",strike
peck,200,n,measure
peck,300,v,stumble
peer,100,v,scan
peer,200,"n,v",associate
pen,100,"n,v",writing instrument
pen,200,"n,v",enclosure
pen,500,n,swan
pen,600,n,prison
perch,100,"n,v",branch
perch,200,n,fish
perch,300,n,measure
pet,100,"n,v",treasure
pet,200,n,tantrum
phoenix,0,n,bird
phoenix,200,n,constellation
phone,100,"n,v",telephone
phone,200,n,sound
pick,100,"v,n",choose
pick,200,n,tool
pigeon,100,n,bird
pigeon,200,n,simplified language
pike,100,n,fish
pike,200,"n,v",weapon
pike,300,n,road
pike,400,n,position
pike,500,v,withdraw
pile,100,"n,v",heap
pile,200,"n,v",stake
pile,500,n,fibres
pine,100,n,tree
pine,200,v,suffer
pink,100,"a,n,v",color
pink,400,n,plant
pink,500,v,scratch
pink,600,n,ship
pink,700,v,rumble
pink,800,n,pigment
pitch,100,"n,v",degree
pitch,200,"n,v",substance
pitcher,100,n,pottery
pitcher,200,n,player
plane,100,"n,a,v",surface
plane,200,"n,v",aeroplane
plane,300,"n,v",tool
plane,800,n,tree
plight,100,n,situation
plight,200,v,pledge
plump,100,"a,v",chubby
plump,200,"v,n,r",sit
plump,600,n,flock
pole,100,"n,v",support
pole,200,n,location
pole,300,n,position
pole,500,n,inhabitant
policy,100,n,principle
policy,200,n,contract
pool,100,"n,v",basin
pool,200,"n,v",supply
pop,100,"v,n,r",explode
pop,200,"a,n",favored
pop,600,n,father
pop,700,n,popsicle
pope,100,n,bishop of Rome
pope,200,n,Orthodox priest
pore,100,n,opening
pore,200,v,ponder
port,100,n,harbour
port,200,n,wine
port,300,"n,v",direction
port,400,n,socket
port,500,"v,n",transfer
port,800,n,suitcase
portal,100,n,entrance
portal,200,a,open
porter,100,n,carrier
porter,200,n,doorman
pose,100,"v,n",suggest
pose,200,v,confuse
post,100,"n,v",framework
post,200,"n,v,r",mail service
post,300,"n,v",employment
pot,100,"n,v",pottery
pot,200,n,cannabis
pot,300,"n,v",shot
pot,600,n,instrument
potent,100,a,powerful
potent,200,"a,n",crutch-shaped
pound,100,n,unit
pound,200,v,strike
pound,300,"n,v",enclosure
press,100,"v,n",push
press,200,"v,n",force
primate,100,n,chief bishop
primate,200,n,mammal
prime,100,"a,n",main
prime,200,v,prepare
prior,100,"a,n",before
prior,200,n,man
prize,100,"n,a,v",reward
prize,400,v,pull
pro,100,"n,a",professional
pro,200,"n,r",adavantage
pry,100,v,enquire
pry,200,v,pull
pulse,100,"n,v",throbbing
pulse,200,n,seed
pump,100,"n,v",mechanism
pump,200,n,shoe
pupil,100,n,student
pupil,200,n,eye
quack,100,"n,v",sound
quack,200,n,person
quarrel,100,"n,v",argument
quarrel,200,n,arrow
quit,100,"v,a",depart
quit,200,n,bird
quiz,100,"n,v",test
quiz,200,"v,n",scan
race,100,"n,v",competition
race,200,n,division
race,300,n,root
rack,100,"n,v",framework
rack,200,"n,v",gait
rack,500,"n,v",joint
rack,600,v,siphon
racket,100,n,sport bat
racket,200,"n,v",noise
rag,100,"n,v",cloth
rag,200,"v,n",tease
rag,500,n,rock
rag,600,n,music
rag,700,n,musical mode
rail,100,"n,v",fence
rail,200,v,complain
rail,300,n,bird
rake,100,"n,v",implement
rake,200,n,playboy
rake,300,"v,n",incline
rake,600,n,railways
rake,700,n,herd
rally,100,"v,n",assemble
rally,200,v,tease
rank,100,"n,v",position
rank,200,a,abundant
rape,100,"n,v",assult
rape,200,n,cabbage
rape,300,n,stalks
rape,400,n,division
rare,100,a,infrequent
rare,200,a,halk-cooked
rate,100,"n,v",quantity
rate,200,v,scold
rate,300,v,soak
ray,100,"n,v",glimmer
ray,200,n,fish
ray,300,n,note
real,100,"a,r",true
real,200,n,money
rear,100,"n,a",hindmost
rear,200,v,nurture
refrain,100,v,restrain
refrain,200,n,repeat
rejoin,100,v,return
rejoin,200,v,reply
rent,100,"n,v",payment
rent,200,n,split
rent,300,v,break
repair,100,"v,n",restore
repair,200,"v,n",go to
rest,100,"v,n",relax
rest,200,"n,v",remaining
reveal,100,"v,n",divulge
reveal,200,n,hole
rifle,100,"n,v",gun
rifle,200,v,search
rig,100,"v,n",equip
rig,200,"v,n",manipulate
ring,100,"n,v",circle
ring,200,"v,n",chime
rip,100,"v,n",tear
rip,200,"n,v",flowing water
rip,300,n,person
rock,100,n,mineral
rock,200,"v,n",sway
root,100,"n,v",source
root,200,"v,n",search
rose,0,n,wine
rose,100,"n,v",plant
rose,200,v,risen
row,100,n,line
row,200,"v,n",paddle
row,300,"n,v",disagreement
rush,100,"v,n",hurry
rush,200,n,plant
rut,100,n,tracks
rut,200,"n,v",period
sable,100,n,marten
sable,200,"a,n",black
sack,100,"n,v",bag
sack,200,"v,n",plunder
sack,500,n,wine
sage,100,n,plant
sage,200,"n,a",wise man
sake,100,n,purpose
sake,200,n,alcohol
sallow,100,a,yellowish
sallow,200,n,tree
sash,100,n,strip
sash,200,n,frame
scale,100,"n,v",plates
scale,200,"n,v",weighing machine
scale,300,"n,v",range
scarf,100,n,fabric
scarf,200,"v,n",join
scarf,300,v,devour
school,100,"n,v,a",institution
school,200,"n,v",fishes
scour,100,"v,n",clean
scour,200,v,search
scout,100,"n,v",vessel
scout,200,v,reject
scrap,100,"n,v",remnants
scrap,200,"n,v",fight
scrub,100,"v,n",remove
scrub,200,n,vegetation
seal,100,"n,v",cork
seal,200,"n,v",mammal
seal,500,n,soldier
second,200,n,time
second,300,v,transfer
see,100,v,percieve
see,200,n,place
send,100,v,transmit
send,200,"n,v",surge
set,100,v,position
set,200,"n,v",collection
set,300,a,hardened
settle,100,v,resolve
settle,200,n,bench
sewer,100,n,drain
sewer,200,n,one that sews
shanty,100,n,shack
shanty,200,n,song
share,100,"n,v",portion
share,200,n,blade
shed,100,"n,v",structure
shed,200,v,discard
sheer,100,"a,r,n",thin
sheer,200,"v,n",swerve
sheer,600,n,slope
sheet,100,"n,v",fabric
sheet,200,"n,v",rope
shelf,100,n,ledge
shelf,200,"n,v",informer
shiver,100,"v,n",shake
shiver,200,"n,v",fragment
shock,100,"n,v",suprise
shock,200,"n,v",grain
shock,500,n,hair
shore,100,n,beach
shore,200,"n,v",support
shore,300,v,shave
shrub,100,n,plant
shrub,200,n,drink
sick,100,"a,n,v",ill
sick,400,v,pursue
sink,100,v,capsize
sink,200,n,basin
size,100,"n,v,a",dimensions
size,200,"n,v",solution
skip,100,"v,n",prance
skip,200,n,container
skip,300,"n,v",captain
slack,100,"a,n,v",loose
slack,400,n,coal
slip,100,"v,n",slide
slip,200,n,paperp
slip,300,n,mixture
slop,100,"v,n",spill
slop,200,n,clothing
slot,100,"n,v",slit
slot,200,n,deer tracks
slug,100,"n,v",invertebrate
slug,200,"v,n",strike
smack,100,"n,v,r",slap
smack,200,"v,n",flavour
smack,600,n,boat
smack,700,n,heroin
sod,100,"n,v",surface
sod,200,"n,v",scoundrel
soil,100,n,ground
soil,200,"v,n",dirty
soil,300,v,feed
sole,100,"n,v",undersurface
sole,200,n,flatfish
sole,300,a,one
